input_string,lewd,offensive,intent,group
"Like Baathists before them, #ISIS &amp; Al Qaeda supporters' rivalry is as absurd as their cause - battling for who's the more authentic Jihadi",N,N,N,N
A hoe gone be a hoe they ain't &#128175;,N,Y,Y,N
RT @WBeezy_: These bitches so phoney &#128514;&#128514;&#128514;,N,Y,Y,N
this bitch need to wake up asap lol,N,Y,Y,N
"""@RachieSoul: @DizzleOfficial inna di ghetto!!!"" You alone lmaoo",N,N,N,N
I'm happily taken tho... &amp; I ain't cheating for none of you hoes.,N,N,N,N
Any where the $$$ at is where the pussy go...,Y,Y,Y,N
"Forget ""resting bitch face,"" the next hot new trend will be ""resting drunk face.""",N,Y,Y,N
@DrunkAtChurch @MzYummyDread Slide up on a bad bitch/Dat bitch look good,N,Y,Y,N
@OLE_VertyBstard let a honky know man lol,N,N,N,N
RT @AdamSandy52: Bro forreal if you have beef with someone handle it your damn self don't be a lil bitch and bring other people in it. Be a&#8230;,N,Y,Y,N
RT @NoContextAds: Tired of little bitches messing with your plants? Get your own Gangster Gladys http://t.co/LQbU0JG3br,N,Y,Y,N
RT @basedamERICan: When you stuck in the middle of the jungle but see a bad bitch Chillin by the mango tree... http://t.co/YRpGM7JC1s,N,Y,Y,N
"RT @TrapicalGod: If she has ""You know my name not my story"" in her bio you know she a hoe",N,Y,Y,N
I ain't been to the fair since I was like 8 and I haven't wanted to go since then either for some reason. Too many niggers for me,N,Y,Y,Y
@rhythmixx_ why you gotta hoe me like that,N,Y,Y,N
the bird with the aim of dreams https://t.co/jkX6dsqXcq,N,N,N,N
"Just read this instagram profile ""luv my grls, princesses by birth, bitches by choice"" yeaaah youre cool.. #tryhard #loser",N,N,N,N
@Crackerboyy these hoes really out here,N,Y,Y,N
nvm it's all good nothing is wrong with bitches ((:,N,N,N,N
Give a bitch 2 or 3 pumps &amp; that's it.,Y,Y,Y,N
@SinexDerek those guys are pussies &#128527;&#128079;,N,Y,Y,N
"I was literally ""trappin"" when Drake dropped that ""Take a bitch from any nigga, that's what we do!"" line. I can taste the Hennessey now",N,N,N,N
&#8220;@MannyBDlopez: When you open your starburst candy and get 2 yellows http://t.co/F0dDbfEzB6&#8221; lmao bruh,N,N,N,N
I wish a bitch would,N,Y,Y,N
"You girls be 13 talking about ""I hate sleeping alone"".. Well bitch you better buy a damn teddy bear.",N,N,N,N
"#VinitaHegwood can get a job at the naacp. Or as The AG. I hear they like ""diversity and tolerance"". As long as you ain't a cracker #tcot",N,Y,Y,N
@mfsasso or jim crow laws segregation lynching laws... anti womans suffrage laws... amazing how everyone doesnt want to bring that up,N,Y,Y,N
Call dat bitch... http://t.co/p50wtGrz8a,N,Y,Y,N
RT @bigshaadswerver: Yo this freezing cold shit so Lel n for the birds it crazy,N,N,N,N
RT @jama_jam: You gotta be straight forward with hoes... Tell them what you want from jump...,N,Y,Y,N
RT @CHAMPAGNE_____: karma's a bitch. don't dish what you can't take. &#128583;,N,Y,Y,N
"@burke113 @donthebear ""..the nig..""? ok, you're the big time shit talker on twitter no name, no face, no info",N,Y,Y,N
@KeyshawnSwag the bad bitch with them ugly ass nikes,N,Y,Y,N
